,tp,fp,fn,precision,recall,f1
compound_id,27.0,45.0,159.0,0.375,0.14516129032258066,0.2093023255813954
smiles,0.0,72.0,186.0,0.0,0.0,0.0
target_type,72.0,0.0,114.0,1.0,0.3870967741935484,0.5581395348837209
target_relation,72.0,0.0,114.0,1.0,0.3870967741935484,0.5581395348837209
target_value,36.0,36.0,150.0,0.5,0.1935483870967742,0.27906976744186046
target_units,0.0,72.0,186.0,0.0,0.0,0.0
bacteria,0.0,72.0,186.0,0.0,0.0,0.0
