,tp,fp,fn,precision,recall,f1
compound_id,8.0,20.0,0.0,0.2857142857142857,1.0,0.4444444444444445
smiles,0.0,28.0,8.0,0.0,0.0,0.0
target_type,8.0,20.0,0.0,0.2857142857142857,1.0,0.4444444444444445
target_relation,8.0,20.0,0.0,0.2857142857142857,1.0,0.4444444444444445
target_value,8.0,20.0,0.0,0.2857142857142857,1.0,0.4444444444444445
target_units,0.0,28.0,8.0,0.0,0.0,0.0
bacteria,0.0,28.0,8.0,0.0,0.0,0.0
