,tp,fp,fn,precision,recall,f1
compound_id,8.0,22.0,0.0,0.26666666666666666,1.0,0.4210526315789474
smiles,0.0,30.0,8.0,0.0,0.0,0.0
target_type,8.0,22.0,0.0,0.26666666666666666,1.0,0.4210526315789474
target_relation,8.0,22.0,0.0,0.26666666666666666,1.0,0.4210526315789474
target_value,7.0,23.0,1.0,0.23333333333333334,0.875,0.3684210526315789
target_units,0.0,30.0,8.0,0.0,0.0,0.0
bacteria,0.0,30.0,8.0,0.0,0.0,0.0
