,tp,fp,fn,precision,recall,f1
compound_id,16.75,27.75,39.75,0.35684523809523805,0.7862903225806452,0.43536651706786345
smiles,0.0,44.5,56.5,0.0,0.0,0.0
target_type,28.0,16.5,28.5,0.513095238095238,0.8467741935483871,0.5225758193934449
target_relation,28.0,16.5,28.5,0.513095238095238,0.8467741935483871,0.5225758193934449
target_value,18.75,25.75,37.75,0.37976190476190474,0.7671370967741935,0.43965048279613766
target_units,0.0,44.5,56.5,0.0,0.0,0.0
bacteria,0.0,44.5,56.5,0.0,0.0,0.0
