,tp,fp,fn,precision,recall,f1
compound_id,6.0,26.5,50.5,0.15384615384615385,0.25,0.1904761904761905
smiles,0.0,32.5,56.5,0.0,0.0,0.0
target_type,28.75,3.75,27.75,0.6538461538461539,0.551747311827957,0.5615884730275874
target_relation,28.75,3.75,27.75,0.6538461538461539,0.551747311827957,0.5615884730275874
target_value,1.25,31.25,55.25,0.20833333333333334,0.15625,0.17857142857142858
target_units,6.0,26.5,50.5,0.15384615384615385,0.25,0.1904761904761905
bacteria,0.0,32.5,56.5,0.0,0.0,0.0
