,tp,fp,fn,precision,recall,f1
compound_id,6.0,52.25,50.5,0.075,0.25,0.11538461538461538
smiles,0.0,58.25,56.5,0.0,0.0,0.0
target_type,44.25,14.0,12.25,0.575,0.6948924731182795,0.5844178480130142
target_relation,43.75,14.5,12.75,0.5715517241379311,0.6922043010752688,0.5813966999767604
target_value,1.75,56.5,54.75,0.21875,0.21875,0.21875
target_units,6.0,52.25,50.5,0.075,0.25,0.11538461538461538
bacteria,6.0,52.25,50.5,0.075,0.25,0.11538461538461538
