,tp,fp,fn,precision,recall,f1
compound_id,24.0,24.0,0.0,0.5,1.0,0.6666666666666666
smiles,0.0,48.0,24.0,0.0,0.0,0.0
target_type,24.0,24.0,0.0,0.5,1.0,0.6666666666666666
target_relation,24.0,24.0,0.0,0.5,1.0,0.6666666666666666
target_value,24.0,24.0,0.0,0.5,1.0,0.6666666666666666
target_units,0.0,48.0,24.0,0.0,0.0,0.0
bacteria,0.0,48.0,24.0,0.0,0.0,0.0
