,tp,fp,fn,precision,recall,f1
compound_id,10.5,0.0,46.0,0.75,0.5134408602150538,0.5255102040816326
smiles,0.0,10.5,56.5,0.0,0.0,0.0
target_type,10.5,0.0,46.0,0.75,0.5134408602150538,0.5255102040816326
target_relation,10.5,0.0,46.0,0.75,0.5134408602150538,0.5255102040816326
target_value,9.75,0.75,46.75,0.66875,0.479502688172043,0.48915816326530615
target_units,0.0,10.5,56.5,0.0,0.0,0.0
bacteria,0.0,10.5,56.5,0.0,0.0,0.0
